year,date,rank,name,grade,athlete_number,time
2025,2025-08-23 16:25:00,1,増田 優太朗,1,1987,895.74
2025,2025-08-23 16:25:00,2,高橋 講一郎,2,1968,930.3
2025,2025-08-23 16:25:00,3,佐藤 颯翔,2,2362,969.72
2025,2025-08-23 16:25:00,4,髙山 倖瑠,1,1219,972.08
2025,2025-08-23 16:25:00,5,杉田 來翔,1,2517,979.64
2025,2025-08-23 16:25:00,6,亀山 莉玖,2,1213,986.13
2025,2025-08-23 16:25:00,7,菅野 優貴,2,2529,994.49
2025,2025-08-23 16:25:00,8,野坂 怜央,1,1672,997.01
2025,2025-08-23 16:25:00,9,金本 椋,2,686,1002.85
2025,2025-08-23 16:25:00,10,山崎 春桜,2,312,1022.4
2025,2025-08-23 16:25:00,11,光田 虎ノ介,2,1685,1039.5
2025,2025-08-23 16:25:00,12,佐藤 樹,1,2063,1041.87
2025,2025-08-23 16:25:00,13,大内 柊凛,2,1255,1050.29
2025,2025-08-23 16:25:00,14,佐々木 壮輔,1,2694,1055.79
2025,2025-08-23 16:25:00,15,田巻 勇人,2,309,1063.86
2025,2025-08-23 16:25:00,16,大井 惟幾,2,1362,1064.02
2025,2025-08-23 15:55:00,17,中西 亮介,1,1706,1066.54
2025,2025-08-23 15:55:00,18,札 楓,2,520,1078.26
2025,2025-08-23 16:25:00,19,八島 涼,2,1605,1079.61
2025,2025-08-23 15:55:00,20,齊藤 遥斗,1,610,1087.36
2025,2025-08-23 16:25:00,21,伊藤 紘一郎,1,2011,1091.09
2025,2025-08-23 15:55:00,22,鈴木 涼太,2,751,1099.47
2025,2025-08-23 15:55:00,23,河口 俊規,1,1372,1102.08
2025,2025-08-23 16:25:00,24,柳谷 透摩,1,2826,1121.36
2025,2025-08-23 15:55:00,25,藤本 優真,1,1407,1121.68
2025,2025-08-23 15:55:00,26,天野 快晟,1,2828,1126.18
2025,2025-08-23 15:55:00,27,奥寺 一慧,1,2381,1128.3
2025,2025-08-23 15:55:00,28,村山 智哉,2,518,1128.34
2025,2025-08-23 15:55:00,29,伊藤 節,1,2065,1131.51
2025,2025-08-23 15:55:00,30,伊藤 虎鉄,1,716,1141.29
2025,2025-08-23 15:55:00,31,菊野 空,2,1829,1147.94
2025,2025-08-23 16:25:00,32,堀井 息吹,2,885,1151.56
2025,2025-08-23 15:55:00,33,石塚 蒼依,1,1723,1152.8
2025,2025-08-23 15:55:00,34,大宮 瑛虎,2,951,1161.26
2025,2025-08-23 15:55:00,35,渡辺 真喜斗,1,2413,1162.33
2025,2025-08-23 15:55:00,36,髙橋 一誠,1,1302,1196.61
2025,2025-08-23 15:55:00,37,森 航平,1,2704,1219.32
2025,2025-08-23 15:55:00,38,伊原 大翔,2,780,1261.13
2024,2024-08-17 16:05:00,1,林 柚杏,2,1965,879.88
2024,2024-08-17 16:05:00,2,ガユ サミュエル,2,1963,880.31
2024,2024-08-17 16:05:00,3,古都 瑠壱,2,2538,927.61
2024,2024-08-17 16:05:00,4,渡邊 開生,2,1653,945.52
2024,2024-08-17 16:05:00,5,小山 瞬,2,2550,968.06
2024,2024-08-17 16:05:00,6,佐野 正幸,2,1652,983.59
2024,2024-08-17 16:05:00,7,佐藤根 陸,2,651,1000.37
2024,2024-08-17 16:05:00,8,佐藤 颯翔,1,2362,1004.01
2024,2024-08-17 16:05:00,9,古瀬 和真,2,1377,1012.92
2024,2024-08-17 16:05:00,10,菅原 瑞希,2,2009,1034.64
2024,2024-08-17 16:05:00,11,亀山 莉玖,1,1213,1058.9
2024,2024-08-17 16:05:00,12,長崎 竜太,2,315,1061.96
2024,2024-08-17 16:05:00,13,上野 倖生,2,960,1067.84
2024,2024-08-17 16:05:00,14,杉村 知紘,2,114,1074.6
2024,2024-08-17 16:05:00,15,滝澤 楓,2,461,1075.77
2024,2024-08-17 16:05:00,16,金本 椋,1,686,1076.86
